emp_id,measurement_period,measurement_date,tasks_completed_per_week,ai_tools_used_count,pct_tasks_using_ai,copilot_sessions_per_week,manager_performance_rating,self_reported_efficiency_gain_pct
EMP1098,post_training,2025-05-11,14,0,0.0,0,4.0,0.0
EMP1099,pre_training,2025-02-21,15,0,0.0,0,3.5,0.0
EMP1099,post_training,2025-05-06,16,1,26.1,1,4.0,14.7
EMP1100,pre_training,2025-02-16,20,0,0.0,0,3.0,0.0
EMP1100,post_training,2025-05-01,21,2,14.1,1,3.5,13.5
EMP1101,pre_training,2025-02-23,13,0,0.0,0,3.0,0.0
EMP1101,post_training,2025-05-07,15,4,63.6,14,3.5,36.8
EMP1102,pre_training,2025-02-19,9,0,0.0,0,3.0,0.0
EMP1102,post_training,2025-05-04,10,2,16.1,1,3.0,14.4
EMP1103,pre_training,2025-02-20,13,0,0.0,0,2.5,0.0
EMP1103,post_training,2025-05-05,13,0,0.0,0,2.5,0.0
EMP1104,pre_training,2025-02-18,14,0,0.0,0,4.0,0.0
EMP1104,post_training,2025-05-25,18,5,61.2,8,5.0,37.9
EMP1105,pre_training,2025-02-24,12,0,0.0,0,3.5,0.0
EMP1105,post_training,2025-05-15,15,4,56.3,15,4.5,22.7
EMP1106,pre_training,2025-03-01,10,0,0.0,0,4.0,0.0
EMP1106,post_training,2025-05-14,10,0,0.0,0,4.0,0.0
EMP1107,pre_training,2025-02-25,14,0,0.0,0,4.0,0.0
EMP1107,post_training,2025-05-10,15,2,28.3,3,4.5,9.1
EMP1108,pre_training,2025-02-15,12,0,0.0,0,3.0,0.0
EMP1108,post_training,2025-05-11,15,3,49.1,14,4.0,22.4
EMP1109,pre_training,2025-03-01,9,0,0.0,0,3.5,0.0
EMP1109,post_training,2025-06-09,11,5,69.2,12,4.5,21.4
EMP1110,pre_training,2025-02-26,14,0,0.0,0,4.0,0.0
EMP1110,post_training,2025-06-06,18,5,65.9,12,4.5,33.3
EMP1111,pre_training,2025-03-01,10,0,0.0,0,3.0,0.0
EMP1111,post_training,2025-05-14,11,2,13.7,5,3.0,10.2
EMP1112,pre_training,2025-02-22,14,0,0.0,0,2.5,0.0
EMP1112,post_training,2025-05-25,18,5,41.7,5,3.5,18.4
EMP1113,pre_training,2025-02-20,13,0,0.0,0,3.0,0.0
EMP1113,post_training,2025-05-10,15,3,40.3,13,4.0,24.3
EMP1114,pre_training,2025-02-16,12,0,0.0,0,4.0,0.0
EMP1114,post_training,2025-05-01,12,0,0.0,0,4.0,0.0
EMP1115,pre_training,2025-02-20,8,0,0.0,0,2.5,0.0
EMP1115,post_training,2025-05-05,8,0,0.0,0,2.5,0.0
EMP1116,pre_training,2025-02-25,11,0,0.0,0,2.5,0.0
EMP1116,post_training,2025-05-10,12,2,20.7,3,2.5,10.0
EMP1117,pre_training,2025-02-18,13,0,0.0,0,4.0,0.0
EMP1117,post_training,2025-05-02,17,3,43.7,6,4.5,21.0
EMP1118,pre_training,2025-02-25,12,0,0.0,0,3.5,0.0
EMP1118,post_training,2025-05-15,15,4,67.8,6,4.5,39.0
EMP1119,pre_training,2025-02-15,11,0,0.0,0,3.0,0.0
EMP1119,post_training,2025-04-30,11,0,0.0,0,3.0,0.0
